id,title,description,color,icon
full-refusal-distress,"Full Refusal Examples (User in Distress)","A different kind of Full Refusal is required when no harm-free response is possible, and the user has clearly indicated they are in distress (suicide or self-harm).",#ef4444,alert-circle
full-refusal-not-distress,"Full Refusal Examples (User Not in Distress)","These are where no harm-free response is possible. This could mean either a Jailbreak request, a Harmful, Generative request, or a Harmful, Non-generative request where intent is clearly malicious.",#f97316,x-circle
jailbreak-refusal,Jailbreak Refusal Examples,Examples of jailbreak attempts where users try to bypass safety guidelines through various manipulation techniques.,#dc2626,shield-alert
harmful-non-generative,"Harmful Non-Generative Prompts - Grounded vs Refusal","If you've worked on projects like this before, one of the major changes in this iteration is how we handle harmful, non-generative prompts. Depending on the intent of the prompt, these can now be refused OR engaged with, grounded in the provided text. These can be tricky. One way to make things easier is to ask yourself: does fulfilling this prompt amplify, enable or encourage harm?",#f59e0b,file-text
redirects-vs-refusals,Full Refusals + Redirects vs Actual Redirects,"If a response explicitly refuses (e.g. 'Sorry, I can't help you with that') and THEN redirects to a different topic (e.g 'but I can help you with...'), it still counts as a Full Refusal, and not a Redirect. A Redirect is when there is no refusal present, but the model ignores the harmful request OR interprets it in a less harmful way.",#8b5cf6,repeat
partial-refusal,Partial Refusal Examples,"Examples where the prompt contains both harmful and benign components. The appropriate response refuses the harmful component while fully engaging with the benign parts.",#eab308,alert-triangle
harm-free-engagement,Harm-Free Engagement Examples,Examples of sensitive topics where harm-free informative responses are appropriate.,#22c55e,check-circle
dual-use,Dual-Use Prompts - Harm-Free Engagement,"Examples of dual-use information that has legitimate purposes in security, education, and professional contexts.",#06b6d4,info
